City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Kalabo,ZM,2021-03-28 23:02:45,-14.97,22.6814,67.35,78,75,3.96
284,Padang,ID,2021-03-28 23:02:45,-0.9492,100.3543,73.4,100,40,1.14
285,Chuy,UY,2021-03-28 23:02:45,-33.6971,-53.4616,64.31,91,54,5.19
286,Oksfjord,NO,2021-03-28 23:02:46,70.2396,22.3479,32.0,64,90,2.3
287,Seymchan,RU,2021-03-28 23:02:46,62.8833,152.4333,-1.46,87,100,1.54
288,Kalemie,CD,2021-03-28 22:59:13,-5.9475,29.1947,69.21,85,90,2.68
289,Axim,GH,2021-03-28 23:02:47,4.8699,-2.2405,79.07,87,10,7.38
290,Lahat,ID,2021-03-28 23:02:47,-3.8,103.5333,71.74,97,100,2.08
291,Vikhorevka,RU,2021-03-28 23:02:47,56.1201,101.1636,30.2,69,40,2.24
292,Dongying,CN,2021-03-28 23:02:47,37.4564,118.4856,51.42,29,99,4.0
